# WebGL constants

{{DefaultAPISidebar("WebGL")}}

The [WebGL API](/en-US/docs/Web/API/WebGL_API) provides several constants that are passed into or returned by functions. All constants are of type {{domxref("WebGL_API/Types", "GLenum")}}.

Standard WebGL constants are installed on the {{domxref("WebGLRenderingContext")}} and {{domxref("WebGL2RenderingContext")}} objects, so that you use them as `gl.CONSTANT_NAME`:

```js
const canvas = document.getElementById("myCanvas");
const gl = canvas.getContext("webgl");

gl.getParameter(gl.LINE_WIDTH);
```

Some constants are also provided by [WebGL extensions](/en-US/docs/Web/API/WebGL_API/Using_Extensions). A [list](#constants_defined_in_webgl_extensions) is provided below.

```js
const debugInfo = gl.getExtension("WEBGL_debug_renderer_info");
const vendor = gl.getParameter(debugInfo.UNMASKED_VENDOR_WEBGL);
```

The [WebGL tutorial](/en-US/docs/Web/API/WebGL_API/Tutorial) has more information, examples, and resources on how to get started with WebGL.

## Table of contents

- [Standard WebGL 1 constants](#standard_webgl_1_constants)
- [Standard WebGL 2 constants](#additional_constants_defined_webgl_2)
- [WebGL extension constants](#constants_defined_in_webgl_extensions)

## Standard WebGL 1 constants

These constants are defined on the {{domxref("WebGLRenderingContext")}} interface.

### Clearing buffers

Constants passed to {{domxref("WebGLRenderingContext.clear()")}} to clear buffer masks.

| Constant name        | Value      | Description                                            |
| Constant name              | Value  | Description                                                                                                                                 |
| -------------------------- | ------ | ------------------------------------------------------------------------------------------------------------------------------------------- |
| `ZERO`                     | 0      | Passed to `blendFunc` or `blendFuncSeparate` to turn off a component.                                                                       |
| `ONE`                      | 1      | Passed to `blendFunc` or `blendFuncSeparate` to turn on a component.                                                                        |
| `SRC_COLOR`                | 0x0300 | Passed to `blendFunc` or `blendFuncSeparate` to multiply a component by the source element's color.                                         |
| `ONE_MINUS_SRC_COLOR`      | 0x0301 | Passed to `blendFunc` or `blendFuncSeparate` to multiply a component by one minus the source element's color.                               |
| `SRC_ALPHA`                | 0x0302 | Passed to `blendFunc` or `blendFuncSeparate` to multiply a component by the source's alpha.                                                 |
| `ONE_MINUS_SRC_ALPHA`      | 0x0303 | Passed to `blendFunc` or `blendFuncSeparate` to multiply a component by one minus the source's alpha.                                       |
| `DST_ALPHA`                | 0x0304 | Passed to `blendFunc` or `blendFuncSeparate` to multiply a component by the destination's alpha.                                            |
| `ONE_MINUS_DST_ALPHA`      | 0x0305 | Passed to `blendFunc` or `blendFuncSeparate` to multiply a component by one minus the destination's alpha.                                  |
| `DST_COLOR`                | 0x0306 | Passed to `blendFunc` or `blendFuncSeparate` to multiply a component by the destination's color.                                            |
| `ONE_MINUS_DST_COLOR`      | 0x0307 | Passed to `blendFunc` or `blendFuncSeparate` to multiply a component by one minus the destination's color.                                  |
| `SRC_ALPHA_SATURATE`       | 0x0308 | Passed to `blendFunc` or `blendFuncSeparate` to multiply a component by the minimum of source's alpha or one minus the destination's alpha. |
| `CONSTANT_COLOR`           | 0x8001 | Passed to `blendFunc` or `blendFuncSeparate` to specify a constant color blend function.                                                    |
| `ONE_MINUS_CONSTANT_COLOR` | 0x8002 | Passed to `blendFunc` or `blendFuncSeparate` to specify one minus a constant color blend function.                                          |
| `CONSTANT_ALPHA`           | 0x8003 | Passed to `blendFunc` or `blendFuncSeparate` to specify a constant alpha blend function.                                                    |
| `ONE_MINUS_CONSTANT_ALPHA` | 0x8004 | Passed to `blendFunc` or `blendFuncSeparate` to specify one minus a constant alpha blend function.                                          |

### Blending equations

Constants passed to {{domxref("WebGLRenderingContext.blendEquation()")}} or {{domxref("WebGLRenderingContext.blendEquationSeparate()")}} to control how the blending is calculated (for both, RGB and alpha, or separately).

| Constant name           | Value  | Description                                                                                                                  |
| ----------------------- | ------ | ---------------------------------------------------------------------------------------------------------------------------- |
| `FUNC_ADD`              | 0x8006 | Passed to `blendEquation` or `blendEquationSeparate` to set an addition blend function.                                      |
| `FUNC_SUBTRACT`         | 0x800A | Passed to `blendEquation` or `blendEquationSeparate` to specify a subtraction blend function (source - destination).         |
| `FUNC_REVERSE_SUBTRACT` | 0x800B | Passed to `blendEquation` or `blendEquationSeparate` to specify a reverse subtraction blend function (destination - source). |

### Getting GL parameter information

Constants passed to {{domxref("WebGLRenderingContext.getParameter()")}} to specify what information to return.

| Constant name                      | Value  | Description                                                                                                                                                                                                                                  |
| ---------------------------------- | ------ | -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| `BLEND_EQUATION`                   | 0x8009 | Passed to `getParameter` to get the current RGB blend function.                                                                                                                                                                              |
| `BLEND_EQUATION_RGB`               | 0x8009 | Passed to `getParameter` to get the current RGB blend function. Same as `BLEND_EQUATION`                                                                                                                                                     |
| `BLEND_EQUATION_ALPHA`             | 0x883D | Passed to `getParameter` to get the current alpha blend function.                                                                                                                                                                            |
| `BLEND_DST_RGB`                    | 0x80C8 | Passed to `getParameter` to get the current destination RGB blend function.                                                                                                                                                                  |
| `BLEND_SRC_RGB`                    | 0x80C9 | Passed to `getParameter` to get the current destination RGB blend function.                                                                                                                                                                  |
| `BLEND_DST_ALPHA`                  | 0x80CA | Passed to `getParameter` to get the current destination alpha blend function.                                                                                                                                                                |
| `BLEND_SRC_ALPHA`                  | 0x80CB | Passed to `getParameter` to get the current source alpha blend function.                                                                                                                                                                     |
| `BLEND_COLOR`                      | 0x8005 | Passed to `getParameter` to return the current blend color.                                                                                                                                                                                  |
| `ARRAY_BUFFER_BINDING`             | 0x8894 | Passed to `getParameter` to get the array buffer binding.                                                                                                                                                                                    |
| `ELEMENT_ARRAY_BUFFER_BINDING`     | 0x8895 | Passed to `getParameter` to get the current element array buffer.                                                                                                                                                                            |
| `LINE_WIDTH`                       | 0x0B21 | Passed to `getParameter` to get the current `lineWidth` (set by the `lineWidth` method).                                                                                                                                                     |
| `ALIASED_POINT_SIZE_RANGE`         | 0x846D | Passed to `getParameter` to get the current size of a point drawn with `gl.POINTS`                                                                                                                                                           |
| `ALIASED_LINE_WIDTH_RANGE`         | 0x846E | Passed to `getParameter` to get the range of available widths for a line. The `getParameter` method then returns an array with two elements: the first element is the minimum width value and the second element is the maximum width value. |
| `CULL_FACE_MODE`                   | 0x0B45 | Passed to `getParameter` to get the current value of `cullFace`. Should return `FRONT`, `BACK`, or `FRONT_AND_BACK`                                                                                                                          |
| `FRONT_FACE`                       | 0x0B46 | Passed to `getParameter` to determine the current value of `frontFace`. Should return `CW` or `CCW`.                                                                                                                                         |
| `DEPTH_RANGE`                      | 0x0B70 | Passed to `getParameter` to return a length-2 array of floats giving the current depth range.                                                                                                                                                |
| `DEPTH_WRITEMASK`                  | 0x0B72 | Passed to `getParameter` to determine if the depth write mask is enabled.                                                                                                                                                                    |
| `DEPTH_CLEAR_VALUE`                | 0x0B73 | Passed to `getParameter` to determine the current depth clear value.                                                                                                                                                                         |
| `DEPTH_FUNC`                       | 0x0B74 | Passed to `getParameter` to get the current depth function. Returns `NEVER`, `ALWAYS`, `LESS`, `EQUAL`, `LEQUAL`, `GREATER`, `GEQUAL`, or `NOTEQUAL`.                                                                                        |
| `STENCIL_CLEAR_VALUE`              | 0x0B91 | Passed to `getParameter` to get the value the stencil will be cleared to.                                                                                                                                                                    |
| `STENCIL_FUNC`                     | 0x0B92 | Passed to `getParameter` to get the current stencil function. Returns `NEVER`, `ALWAYS`, `LESS`, `EQUAL`, `LEQUAL`, `GREATER`, `GEQUAL`, or `NOTEQUAL`.                                                                                      |
| `STENCIL_FAIL`                     | 0x0B94 | Passed to `getParameter` to get the current stencil fail function. Should return `KEEP`, `REPLACE`, `INCR`, `DECR`, `INVERT`, `INCR_WRAP`, or `DECR_WRAP`.                                                                                   |
| `STENCIL_PASS_DEPTH_FAIL`          | 0x0B95 | Passed to `getParameter` to get the current stencil fail function should the depth buffer test fail. Should return `KEEP`, `REPLACE`, `INCR`, `DECR`, `INVERT`, `INCR_WRAP`, or `DECR_WRAP`.                                                 |
| `STENCIL_PASS_DEPTH_PASS`          | 0x0B96 | Passed to `getParameter` to get the current stencil fail function should the depth buffer test pass. Should return `KEEP`, `REPLACE`, `INCR`, `DECR`, `INVERT`, `INCR_WRAP`, or `DECR_WRAP`.                                                 |
| `STENCIL_REF`                      | 0x0B97 | Passed to `getParameter` to get the reference value used for stencil tests.                                                                                                                                                                  |
| `STENCIL_VALUE_MASK`               | 0x0B93 |                                                                                                                                                                                                                                              |
| `STENCIL_WRITEMASK`                | 0x0B98 |                                                                                                                                                                                                                                              |
| `STENCIL_BACK_FUNC`                | 0x8800 |                                                                                                                                                                                                                                              |
| `STENCIL_BACK_FAIL`                | 0x8801 |                                                                                                                                                                                                                                              |
| `STENCIL_BACK_PASS_DEPTH_FAIL`     | 0x8802 |                                                                                                                                                                                                                                              |
| `STENCIL_BACK_PASS_DEPTH_PASS`     | 0x8803 |                                                                                                                                                                                                                                              |
| `STENCIL_BACK_REF`                 | 0x8CA3 |                                                                                                                                                                                                                                              |
| `STENCIL_BACK_VALUE_MASK`          | 0x8CA4 |                                                                                                                                                                                                                                              |
| `STENCIL_BACK_WRITEMASK`           | 0x8CA5 |                                                                                                                                                                                                                                              |
| `VIEWPORT`                         | 0x0BA2 | Returns an {{jsxref("Int32Array")}} with four elements for the current viewport dimensions.                                                                                                                                                  |
| `SCISSOR_BOX`                      | 0x0C10 | Returns an {{jsxref("Int32Array")}} with four elements for the current scissor box dimensions.                                                                                                                                               |
| `COLOR_CLEAR_VALUE`                | 0x0C22 |                                                                                                                                                                                                                                              |
| `COLOR_WRITEMASK`                  | 0x0C23 |                                                                                                                                                                                                                                              |
| `UNPACK_ALIGNMENT`                 | 0x0CF5 |                                                                                                                                                                                                                                              |
| `PACK_ALIGNMENT`                   | 0x0D05 |                                                                                                                                                                                                                                              |
| `MAX_TEXTURE_SIZE`                 | 0x0D33 |                                                                                                                                                                                                                                              |
| `MAX_VIEWPORT_DIMS`                | 0x0D3A |                                                                                                                                                                                                                                              |
| `SUBPIXEL_BITS`                    | 0x0D50 |                                                                                                                                                                                                                                              |
| `RED_BITS`                         | 0x0D52 |                                                                                                                                                                                                                                              |
| `GREEN_BITS`                       | 0x0D53 |                                                                                                                                                                                                                                              |
| `BLUE_BITS`                        | 0x0D54 |                                                                                                                                                                                                                                              |
| `ALPHA_BITS`                       | 0x0D55 |                                                                                                                                                                                                                                              |
| `DEPTH_BITS`                       | 0x0D56 |                                                                                                                                                                                                                                              |
| `STENCIL_BITS`                     | 0x0D57 |                                                                                                                                                                                                                                              |
| `POLYGON_OFFSET_UNITS`             | 0x2A00 |                                                                                                                                                                                                                                              |
| `POLYGON_OFFSET_FACTOR`            | 0x8038 |                                                                                                                                                                                                                                              |
| `TEXTURE_BINDING_2D`               | 0x8069 |                                                                                                                                                                                                                                              |
| `SAMPLE_BUFFERS`                   | 0x80A8 |                                                                                                                                                                                                                                              |
| `SAMPLES`                          | 0x80A9 |                                                                                                                                                                                                                                              |
| `SAMPLE_COVERAGE_VALUE`            | 0x80AA |                                                                                                                                                                                                                                              |
| `SAMPLE_COVERAGE_INVERT`           | 0x80AB |                                                                                                                                                                                                                                              |
| `COMPRESSED_TEXTURE_FORMATS`       | 0x86A3 |                                                                                                                                                                                                                                              |
| `VENDOR`                           | 0x1F00 |                                                                                                                                                                                                                                              |
| `RENDERER`                         | 0x1F01 |                                                                                                                                                                                                                                              |
| `VERSION`                          | 0x1F02 |                                                                                                                                                                                                                                              |
| `IMPLEMENTATION_COLOR_READ_TYPE`   | 0x8B9A |                                                                                                                                                                                                                                              |
| `IMPLEMENTATION_COLOR_READ_FORMAT` | 0x8B9B |                                                                                                                                                                                                                                              |
| `BROWSER_DEFAULT_WEBGL`            | 0x9244 |                                                                                                                                                                                                                                              |

### Buffers

Constants passed to {{domxref("WebGLRenderingContext.bufferData()")}}, {{domxref("WebGLRenderingContext.bufferSubData()")}}, {{domxref("WebGLRenderingContext.bindBuffer()")}}, or {{domxref("WebGLRenderingContext.getBufferParameter()")}}.

| Constant name          | Value  | Description                                                                                                                 |
| ---------------------- | ------ | --------------------------------------------------------------------------------------------------------------------------- |
| `STATIC_DRAW`          | 0x88E4 | Passed to `bufferData` as a hint about whether the contents of the buffer are likely to be used often and not change often. |
| `STREAM_DRAW`          | 0x88E0 | Passed to `bufferData` as a hint about whether the contents of the buffer are likely to not be used often.                  |
| `DYNAMIC_DRAW`         | 0x88E8 | Passed to `bufferData` as a hint about whether the contents of the buffer are likely to be used often and change often.     |
| `ARRAY_BUFFER`         | 0x8892 | Passed to `bindBuffer` or `bufferData` to specify the type of buffer being used.                                            |
| `ELEMENT_ARRAY_BUFFER` | 0x8893 | Passed to `bindBuffer` or `bufferData` to specify the type of buffer being used.                                            |
| `BUFFER_SIZE`          | 0x8764 | Passed to `getBufferParameter` to get a buffer's size.                                                                      |
| `BUFFER_USAGE`         | 0x8765 | Passed to `getBufferParameter` to get the hint for the buffer passed in when it was created.                                |

### Vertex attributes

Constants passed to {{domxref("WebGLRenderingContext.getVertexAttrib()")}}.

| Constant name                        | Value  | Description                                                            |
| ------------------------------------ | ------ | ---------------------------------------------------------------------- |
| `CURRENT_VERTEX_ATTRIB`              | 0x8626 | Passed to `getVertexAttrib` to read back the current vertex attribute. |
| `VERTEX_ATTRIB_ARRAY_ENABLED`        | 0x8622 |                                                                        |
| `VERTEX_ATTRIB_ARRAY_SIZE`           | 0x8623 |                                                                        |
| `VERTEX_ATTRIB_ARRAY_STRIDE`         | 0x8624 |                                                                        |
| `VERTEX_ATTRIB_ARRAY_TYPE`           | 0x8625 |                                                                        |
| `VERTEX_ATTRIB_ARRAY_NORMALIZED`     | 0x886A |                                                                        |
| `VERTEX_ATTRIB_ARRAY_POINTER`        | 0x8645 |                                                                        |
| `VERTEX_ATTRIB_ARRAY_BUFFER_BINDING` | 0x889F |                                                                        |

### Culling

Constants passed to {{domxref("WebGLRenderingContext.cullFace()")}}.

| Constant name    | Value  | Description                                                                                                                   |
| ---------------- | ------ | ----------------------------------------------------------------------------------------------------------------------------- |
| `CULL_FACE`      | 0x0B44 | Passed to `enable`/`disable` to turn on/off culling. Can also be used with `getParameter` to find the current culling method. |
| `FRONT`          | 0x0404 | Passed to `cullFace` to specify that only front faces should be culled.                                                       |
| `BACK`           | 0x0405 | Passed to `cullFace` to specify that only back faces should be culled.                                                        |
| `FRONT_AND_BACK` | 0x0408 | Passed to `cullFace` to specify that front and back faces should be culled.                                                   |

### Enabling and disabling

Constants passed to {{domxref("WebGLRenderingContext.enable()")}} or {{domxref("WebGLRenderingContext.disable()")}}.

| Constant name              | Value  | Description                                                                                                                                                                                                         |
| -------------------------- | ------ | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| `BLEND`                    | 0x0BE2 | Passed to `enable`/`disable` to turn on/off blending. Can also be used with `getParameter` to find the current blending method.                                                                                     |
| `DEPTH_TEST`               | 0x0B71 | Passed to `enable`/`disable` to turn on/off the depth test. Can also be used with `getParameter` to query the depth test.                                                                                           |
| `DITHER`                   | 0x0BD0 | Passed to `enable`/`disable` to turn on/off dithering. Can also be used with `getParameter` to find the current dithering method.                                                                                   |
| `POLYGON_OFFSET_FILL`      | 0x8037 | Passed to `enable`/`disable` to turn on/off the polygon offset. Useful for rendering hidden-line images, decals, and solids with highlighted edges. Can also be used with `getParameter` to query the scissor test. |
| `SAMPLE_ALPHA_TO_COVERAGE` | 0x809E | Passed to `enable`/`disable` to turn on/off the alpha to coverage. Used in multi-sampling alpha channels.                                                                                                           |
| `SAMPLE_COVERAGE`          | 0x80A0 | Passed to `enable`/`disable` to turn on/off the sample coverage. Used in multi-sampling.                                                                                                                            |
| `SCISSOR_TEST`             | 0x0C11 | Passed to `enable`/`disable` to turn on/off the scissor test. Can also be used with `getParameter` to query the scissor test.                                                                                       |
| `STENCIL_TEST`             | 0x0B90 | Passed to `enable`/`disable` to turn on/off the stencil test. Can also be used with `getParameter` to query the stencil test.                                                                                       |

### Errors

Constants returned from {{domxref("WebGLRenderingContext.getError()")}}.

| Constant name        | Value  | Description               |
| -------------------- | ------ | ------------------------- |
| `NO_ERROR`           | 0      | Returned from `getError`. |
| `INVALID_ENUM`       | 0x0500 | Returned from `getError`. |
| `INVALID_VALUE`      | 0x0501 | Returned from `getError`. |
| `INVALID_OPERATION`  | 0x0502 | Returned from `getError`. |
| `OUT_OF_MEMORY`      | 0x0505 | Returned from `getError`. |
| `CONTEXT_LOST_WEBGL` | 0x9242 | Returned from `getError`. |

### Front face directions

Constants passed to {{domxref("WebGLRenderingContext.frontFace()")}}.

| Constant name | Value  | Description                                                                                              |
| ------------- | ------ | -------------------------------------------------------------------------------------------------------- |
| `CW`          | 0x0900 | Passed to `frontFace` to specify the front face of a polygon is drawn in the clockwise direction         |
| `CCW`         | 0x0901 | Passed to `frontFace` to specify the front face of a polygon is drawn in the counter clockwise direction |

### Hints

Constants passed to {{domxref("WebGLRenderingContext.hint()")}}

| Constant name          | Value  | Description                                                                                                                 |
| ---------------------- | ------ | --------------------------------------------------------------------------------------------------------------------------- |
| `DONT_CARE`            | 0x1100 | There is no preference for this behavior.                                                                                   |
| `FASTEST`              | 0x1101 | The most efficient behavior should be used.                                                                                 |
| `NICEST`               | 0x1102 | The most correct or the highest quality option should be used.                                                              |
| `GENERATE_MIPMAP_HINT` | 0x8192 | Hint for the quality of filtering when generating mipmap images with {{domxref("WebGLRenderingContext.generateMipmap()")}}. |

### Data types

| Constant name    | Value  | Description |
| ---------------- | ------ | ----------- |
| `BYTE`           | 0x1400 |             |
| `UNSIGNED_BYTE`  | 0x1401 |             |
| `SHORT`          | 0x1402 |             |
| `UNSIGNED_SHORT` | 0x1403 |             |
| `INT`            | 0x1404 |             |
| `UNSIGNED_INT`   | 0x1405 |             |
| `FLOAT`          | 0x1406 |             |

### Pixel formats

| Constant name     | Value  | Description |
| ----------------- | ------ | ----------- |
| `DEPTH_COMPONENT` | 0x1902 |             |
| `ALPHA`           | 0x1906 |             |
| `RGB`             | 0x1907 |             |
| `RGBA`            | 0x1908 |             |
| `LUMINANCE`       | 0x1909 |             |
| `LUMINANCE_ALPHA` | 0x190A |             |

### Pixel types

| Constant name            | Value  | Description |
| ------------------------ | ------ | ----------- |
| `UNSIGNED_BYTE`          | 0x1401 |             |
| `UNSIGNED_SHORT_4_4_4_4` | 0x8033 |             |
| `UNSIGNED_SHORT_5_5_5_1` | 0x8034 |             |
| `UNSIGNED_SHORT_5_6_5`   | 0x8363 |             |

### Shaders

Constants passed to {{domxref("WebGLRenderingContext.createShader()")}} or {{domxref("WebGLRenderingContext.getShaderParameter()")}}

| Constant name                      | Value  | Description                                                                                                                                                                                      |
| ---------------------------------- | ------ | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ |
| `FRAGMENT_SHADER`                  | 0x8B30 | Passed to `createShader` to define a fragment shader.                                                                                                                                            |
| `VERTEX_SHADER`                    | 0x8B31 | Passed to `createShader` to define a vertex shader                                                                                                                                               |
| `COMPILE_STATUS`                   | 0x8B81 | Passed to `getShaderParameter` to get the status of the compilation. Returns false if the shader was not compiled. You can then query `getShaderInfoLog` to find the exact error                 |
| `DELETE_STATUS`                    | 0x8B80 | Passed to `getShaderParameter` to determine if a shader was deleted via `deleteShader`. Returns true if it was, false otherwise.                                                                 |
| `LINK_STATUS`                      | 0x8B82 | Passed to `getProgramParameter` after calling `linkProgram` to determine if a program was linked correctly. Returns false if there were errors. Use `getProgramInfoLog` to find the exact error. |
| `VALIDATE_STATUS`                  | 0x8B83 | Passed to `getProgramParameter` after calling `validateProgram` to determine if it is valid. Returns false if errors were found.                                                                 |
| `ATTACHED_SHADERS`                 | 0x8B85 | Passed to `getProgramParameter` after calling `attachShader` to determine if the shader was attached correctly. Returns false if errors occurred.                                                |
| `ACTIVE_ATTRIBUTES`                | 0x8B89 | Passed to `getProgramParameter` to get the number of attributes active in a program.                                                                                                             |
| `ACTIVE_UNIFORMS`                  | 0x8B86 | Passed to `getProgramParameter` to get the number of uniforms active in a program.                                                                                                               |
| `MAX_VERTEX_ATTRIBS`               | 0x8869 | The maximum number of entries possible in the vertex attribute list.                                                                                                                             |
| `MAX_VERTEX_UNIFORM_VECTORS`       | 0x8DFB |                                                                                                                                                                                                  |
| `MAX_VARYING_VECTORS`              | 0x8DFC |                                                                                                                                                                                                  |
| `MAX_COMBINED_TEXTURE_IMAGE_UNITS` | 0x8B4D |                                                                                                                                                                                                  |
| `MAX_VERTEX_TEXTURE_IMAGE_UNITS`   | 0x8B4C |                                                                                                                                                                                                  |
| `MAX_TEXTURE_IMAGE_UNITS`          | 0x8872 | Implementation-dependent number of maximum texture units. At least 8.                                                                                                                            |
| `MAX_FRAGMENT_UNIFORM_VECTORS`     | 0x8DFD |                                                                                                                                                                                                  |
| `SHADER_TYPE`                      | 0x8B4F |                                                                                                                                                                                                  |
| `SHADING_LANGUAGE_VERSION`         | 0x8B8C |                                                                                                                                                                                                  |
| `CURRENT_PROGRAM`                  | 0x8B8D |                                                                                                                                                                                                  |

### Depth or stencil tests

Constants passed to {{domxref("WebGLRenderingContext.depthFunc()")}} or {{domxref("WebGLRenderingContext.stencilFunc()")}}.

| Constant name | Value  | Description                                                                                                                                                     |
| ------------- | ------ | --------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| `NEVER`       | 0x0200 | Passed to `depthFunction` or `stencilFunction` to specify depth or stencil tests will never pass, i.e., nothing will be drawn.                                  |
| `LESS`        | 0x0201 | Passed to `depthFunction` or `stencilFunction` to specify depth or stencil tests will pass if the new depth value is less than the stored value.                |
| `EQUAL`       | 0x0202 | Passed to `depthFunction` or `stencilFunction` to specify depth or stencil tests will pass if the new depth value is equals to the stored value.                |
| `LEQUAL`      | 0x0203 | Passed to `depthFunction` or `stencilFunction` to specify depth or stencil tests will pass if the new depth value is less than or equal to the stored value.    |
| `GREATER`     | 0x0204 | Passed to `depthFunction` or `stencilFunction` to specify depth or stencil tests will pass if the new depth value is greater than the stored value.             |
| `NOTEQUAL`    | 0x0205 | Passed to `depthFunction` or `stencilFunction` to specify depth or stencil tests will pass if the new depth value is not equal to the stored value.             |
| `GEQUAL`      | 0x0206 | Passed to `depthFunction` or `stencilFunction` to specify depth or stencil tests will pass if the new depth value is greater than or equal to the stored value. |
| `ALWAYS`      | 0x0207 | Passed to `depthFunction` or `stencilFunction` to specify depth or stencil tests will always pass, i.e., pixels will be drawn in the order they are drawn.      |

### Stencil actions

Constants passed to {{domxref("WebGLRenderingContext.stencilOp()")}}.

| Constant name | Value  | Description |
| ------------- | ------ | ----------- |
| `KEEP`        | 0x1E00 |             |
| `REPLACE`     | 0x1E01 |             |
| `INCR`        | 0x1E02 |             |
| `DECR`        | 0x1E03 |             |
| `INVERT`      | 0x150A |             |
| `INCR_WRAP`   | 0x8507 |             |
| `DECR_WRAP`   | 0x8508 |             |

### Textures

Constants passed to {{domxref("WebGLRenderingContext.texParameter", "WebGLRenderingContext.texParameteri()")}}, {{domxref("WebGLRenderingContext.texParameter", "WebGLRenderingContext.texParameterf()")}}, {{domxref("WebGLRenderingContext.bindTexture()")}}, {{domxref("WebGLRenderingContext.texImage2D()")}}, and others.

| Constant name                 | Value           | Description                      |
| ----------------------------- | --------------- | -------------------------------- |
| `NEAREST`                     | 0x2600          |                                  |
| `LINEAR`                      | 0x2601          |                                  |
| `NEAREST_MIPMAP_NEAREST`      | 0x2700          |                                  |
| `LINEAR_MIPMAP_NEAREST`       | 0x2701          |                                  |
| `NEAREST_MIPMAP_LINEAR`       | 0x2702          |                                  |
| `LINEAR_MIPMAP_LINEAR`        | 0x2703          |                                  |
| `TEXTURE_MAG_FILTER`          | 0x2800          |                                  |
| `TEXTURE_MIN_FILTER`          | 0x2801          |                                  |
| `TEXTURE_WRAP_S`              | 0x2802          |                                  |
| `TEXTURE_WRAP_T`              | 0x2803          |                                  |
| `TEXTURE_2D`                  | 0x0DE1          |                                  |
| `TEXTURE`                     | 0x1702          |                                  |
| `TEXTURE_CUBE_MAP`            | 0x8513          |                                  |
